Bermuda,911
Canada,112
Mexico,911
Saint Pierre and Miquelon,15
United States Of America,911
USA,911
Argentina,107
Bolivia,118
Brazil,192
Chile,131
Colombia,125
Ecuador,131
Falkland Islands,112
French Guiana,15
Guyana,913
Paraguay,141
Peru,106
South Georgia and the South Sandwich Islands,999
Suriname,113
Uruguay,105
Venezuela,171
Antigua and Barbuda,999
Anguilla,911
Aruba,911
The Bahamas,919
British Virgin Islands,999
Cayman Islands,911
Cuba,104
Curacao,912
Dominica,999
Grenada,911
Guedeloupe,15
Martinique,15
Montserrat,911
Navassa Island,911
Saint Kitts and Nevis,911
Saint Lucia,999
Saint Vincent and the Grenadines,112
Bonaire,911
Dominician Republic,911
Haiti,116
Puerto Rico,911
Trinidad and Tobago,811
Jamaica,110
Belize,911
Clipperton Island,15
Costa Rica,911
Guatemala,128
Salvador,132
Honduras,195
Nicaragua,128
Panama,911